uid,active_mins,dt,avg_active_mins
147,7.0,3,2.3333333333333335
149,1303.0,106,12.29245283018868
150,607.0,62,9.790322580645162
151,519.0,51,10.176470588235293
152,133.0,29,4.586206896551724
153,23.0,6,3.8333333333333335
154,50.0,13,3.8461538461538463
156,555.0,60,9.25
157,28.0,8,3.5
158,57.0,23,2.4782608695652173
159,9.0,4,2.25
160,8.0,4,2.0
161,13.0,5,2.6
162,96.0,23,4.173913043478261
163,60.0,13,4.615384615384615
164,192.0,46,4.173913043478261
165,13.0,5,2.6
166,7.0,1,7.0
167,19.0,6,3.1666666666666665
168,8.0,1,8.0
169,2.0,1,2.0
170,112.0,21,5.333333333333333
171,25.0,7,3.5714285714285716
172,23.0,8,2.875
173,31.0,9,3.4444444444444446
174,201.0,37,5.4324324324324325
175,79.0,17,4.647058823529412
176,50.0,15,3.3333333333333335
177,35.0,5,7.0
178,72.0,11,6.545454545454546
179,74.0,19,3.8947368421052633
180,70.0,13,5.384615384615385
181,17.0,3,5.666666666666667
182,886.0,69,12.840579710144928
183,2.0,2,1.0
184,36.0,9,4.0
185,838.0,96,8.729166666666666
186,414.0,72,5.75
187,35.0,9,3.888888888888889
188,15.0,8,1.875
189,1.0,1,1.0
190,757.0,57,13.280701754385966
191,461.0,43,10.720930232558139
192,104.0,16,6.5
193,65.0,20,3.25
194,49.0,11,4.454545454545454
195,50.0,9,5.555555555555555
196,34.0,6,5.666666666666667
197,82.0,29,2.8275862068965516
198,39.0,9,4.333333333333333
199,16.0,3,5.333333333333333
200,461.0,80,5.7625
201,79.0,27,2.925925925925926
202,27.0,14,1.9285714285714286
203,18.0,6,3.0
204,157.0,23,6.826086956521739
205,4.0,1,4.0
206,56.0,10,5.6
207,607.0,90,6.7444444444444445
209,771.0,55,14.018181818181818
210,95.0,10,9.5
211,20.0,6,3.3333333333333335
212,419.0,56,7.482142857142857
214,369.0,63,5.857142857142857
215,59.0,22,2.6818181818181817
216,380.0,31,12.258064516129032
217,3.0,2,1.5
218,66.0,20,3.3
219,158.0,31,5.096774193548387
220,35.0,8,4.375
221,385.0,62,6.209677419354839
222,14.0,5,2.8
223,24.0,9,2.6666666666666665
224,18.0,6,3.0
225,676.0,48,14.083333333333334
226,61.0,12,5.083333333333333
227,149.0,31,4.806451612903226
228,63.0,21,3.0
229,958.0,74,12.945945945945946
230,2.0,1,2.0
231,173.0,37,4.675675675675675
232,230.0,54,4.2592592592592595
233,32.0,14,2.2857142857142856
234,408.0,41,9.951219512195122
235,53.0,12,4.416666666666667
236,200.0,40,5.0
237,76.0,20,3.8
238,36.0,12,3.0
239,14.0,6,2.3333333333333335
240,2.0,1,2.0
241,259.0,40,6.475
242,41.0,7,5.857142857142857
243,352.0,76,4.631578947368421
245,12.0,8,1.5
246,708.0,56,12.642857142857142
247,25.0,14,1.7857142857142858
248,137.0,11,12.454545454545455
249,3.0,1,3.0
250,170.0,54,3.1481481481481484
251,348.0,33,10.545454545454545
252,19.0,4,4.75
253,676.0,57,11.859649122807017
254,263.0,49,5.36734693877551
255,86.0,17,5.0588235294117645
256,81.0,13,6.230769230769231
257,33.0,7,4.714285714285714
258,96.0,8,12.0
259,25.0,13,1.9230769230769231
260,107.0,9,11.88888888888889
261,16.0,9,1.7777777777777777
262,63.0,14,4.5
263,825.0,58,14.224137931034482
264,65.0,16,4.0625
265,8.0,6,1.3333333333333333
266,4.0,2,2.0
267,15.0,3,5.0
268,464.0,68,6.823529411764706
269,35.0,5,7.0
270,170.0,33,5.151515151515151
271,177.0,32,5.53125
272,3.0,2,1.5
273,390.0,33,11.818181818181818
274,247.0,49,5.040816326530612
275,9.0,3,3.0
276,4.0,2,2.0
277,29.0,8,3.625
278,80.0,26,3.076923076923077
279,309.0,56,5.517857142857143
280,776.0,74,10.486486486486486
281,70.0,13,5.384615384615385
282,113.0,31,3.6451612903225805
283,167.0,30,5.566666666666666
284,1.0,1,1.0
285,7.0,1,7.0
286,10.0,4,2.5
287,10.0,5,2.0
288,102.0,29,3.5172413793103448
289,112.0,27,4.148148148148148
290,108.0,29,3.7241379310344827
291,6.0,2,3.0
292,18.0,8,2.25
293,60.0,15,4.0
294,145.0,21,6.904761904761905
295,10.0,2,5.0
296,176.0,17,10.352941176470589
297,92.0,15,6.133333333333334
298,14.0,6,2.3333333333333335
299,104.0,27,3.8518518518518516
300,8.0,3,2.6666666666666665
301,47.0,23,2.0434782608695654
302,75.0,24,3.125
303,174.0,44,3.9545454545454546
304,528.0,42,12.571428571428571
305,11.0,6,1.8333333333333333
306,86.0,20,4.3
307,259.0,34,7.617647058823529
308,42.0,16,2.625
309,59.0,24,2.4583333333333335
310,142.0,18,7.888888888888889
311,683.0,91,7.5054945054945055
312,68.0,14,4.857142857142857
313,19.0,6,3.1666666666666665
314,1.0,1,1.0
315,741.0,55,13.472727272727273
316,112.0,25,4.48
317,90.0,16,5.625
318,499.0,48,10.395833333333334
319,188.0,35,5.371428571428571
320,13.0,2,6.5
321,5.0,2,2.5
322,5.0,1,5.0
323,18.0,8,2.25
324,199.0,41,4.853658536585366
325,8.0,4,2.0
326,54.0,9,6.0
327,18.0,8,2.25
328,66.0,24,2.75
329,285.0,63,4.523809523809524
330,54.0,13,4.153846153846154
331,21.0,10,2.1
332,1.0,1,1.0
333,28.0,16,1.75
334,41.0,12,3.4166666666666665
335,52.0,23,2.260869565217391
336,63.0,16,3.9375
337,32.0,16,2.0
338,4.0,3,1.3333333333333333
339,354.0,65,5.446153846153846
340,181.0,42,4.309523809523809
341,1.0,1,1.0
342,181.0,34,5.323529411764706
343,417.0,66,6.318181818181818
344,108.0,35,3.085714285714286
345,67.0,25,2.68
346,68.0,27,2.5185185185185186
347,63.0,17,3.7058823529411766
348,24.0,9,2.6666666666666665
349,4.0,1,4.0
350,22.0,13,1.6923076923076923
351,40.0,14,2.857142857142857
352,1.0,1,1.0
353,101.0,25,4.04
354,32.0,12,2.6666666666666665
355,84.0,19,4.421052631578948
356,70.0,7,10.0
357,28.0,8,3.5
358,561.0,85,6.6
359,120.0,21,5.714285714285714
360,39.0,21,1.8571428571428572
361,746.0,61,12.229508196721312
362,4.0,2,2.0
363,164.0,32,5.125
364,4.0,2,2.0
365,501.0,42,11.928571428571429
366,715.0,52,13.75
367,131.0,26,5.038461538461538
368,70.0,20,3.5
369,932.0,75,12.426666666666666
370,233.0,51,4.568627450980392
371,48.0,16,3.0
372,6.0,1,6.0
373,53.0,15,3.533333333333333
374,2.0,2,1.0
375,122.0,26,4.6923076923076925
376,2.0,1,2.0
377,654.0,85,7.694117647058824
378,524.0,46,11.391304347826088
379,58.0,11,5.2727272727272725
380,30.0,12,2.5
381,43.0,9,4.777777777777778
383,75.0,9,8.333333333333334
384,18.0,7,2.5714285714285716
385,57.0,22,2.590909090909091
386,34.0,14,2.4285714285714284
387,464.0,37,12.54054054054054
388,899.0,79,11.379746835443038
389,579.0,55,10.527272727272727
390,243.0,40,6.075
391,77.0,23,3.347826086956522
392,47.0,13,3.6153846153846154
393,131.0,28,4.678571428571429
394,852.0,77,11.064935064935066
395,15.0,12,1.25
396,70.0,15,4.666666666666667
397,425.0,59,7.203389830508475
398,67.0,23,2.9130434782608696
399,64.0,13,4.923076923076923
400,67.0,11,6.090909090909091
401,474.0,82,5.780487804878049
402,130.0,19,6.842105263157895
403,43.0,11,3.909090909090909
404,52.0,21,2.4761904761904763
405,64.0,10,6.4
406,22.0,5,4.4
407,165.0,44,3.75
408,665.0,38,17.5
409,18.0,3,6.0
410,363.0,32,11.34375
411,93.0,24,3.875
412,14.0,5,2.8
413,30.0,14,2.142857142857143
414,122.0,32,3.8125
415,21.0,2,10.5
416,38.0,12,3.1666666666666665
417,243.0,27,9.0
418,24.0,11,2.1818181818181817
419,14.0,4,3.5
420,971.0,51,19.03921568627451
421,166.0,40,4.15
422,604.0,94,6.425531914893617
423,891.0,80,11.1375
424,200.0,15,13.333333333333334
425,666.0,43,15.488372093023257
426,41.0,8,5.125
427,235.0,53,4.433962264150943
428,6.0,1,6.0
429,523.0,58,9.017241379310345
430,80.0,19,4.2105263157894735
431,27.0,8,3.375
432,8.0,1,8.0
433,17.0,9,1.8888888888888888
434,110.0,23,4.782608695652174
435,4.0,3,1.3333333333333333
436,70.0,19,3.6842105263157894
437,205.0,46,4.456521739130435
438,120.0,41,2.926829268292683
439,70.0,19,3.6842105263157894
440,28.0,11,2.5454545454545454
441,51.0,9,5.666666666666667
442,36.0,16,2.25
443,63.0,16,3.9375
444,39.0,12,3.25
445,716.0,44,16.272727272727273
446,16.0,8,2.0
447,115.0,40,2.875
448,291.0,22,13.227272727272727
449,6.0,3,2.0
450,24.0,6,4.0
451,161.0,37,4.351351351351352
452,13.0,6,2.1666666666666665
453,9.0,3,3.0
454,226.0,48,4.708333333333333
455,18.0,8,2.25
456,40.0,9,4.444444444444445
457,648.0,38,17.05263157894737
458,8.0,5,1.6
459,109.0,24,4.541666666666667
460,57.0,12,4.75
461,77.0,25,3.08
462,33.0,13,2.5384615384615383
463,1.0,1,1.0
464,34.0,7,4.857142857142857
465,30.0,9,3.3333333333333335
466,16.0,4,4.0
467,68.0,10,6.8
468,3.0,1,3.0
469,324.0,22,14.727272727272727
470,71.0,21,3.380952380952381
471,4.0,2,2.0
472,7.0,3,2.3333333333333335
473,118.0,19,6.2105263157894735
474,12.0,4,3.0
475,20.0,8,2.5
476,19.0,8,2.375
477,322.0,48,6.708333333333333
478,74.0,17,4.352941176470588
479,210.0,37,5.675675675675675
480,245.0,35,7.0
481,17.0,2,8.5
482,27.0,5,5.4
483,13.0,9,1.4444444444444444
484,1.0,1,1.0
485,9.0,4,2.25
486,209.0,33,6.333333333333333
487,20.0,7,2.857142857142857
488,81.0,28,2.892857142857143
489,204.0,36,5.666666666666667
490,44.0,20,2.2
491,80.0,14,5.714285714285714
492,137.0,34,4.029411764705882
493,463.0,88,5.261363636363637
494,278.0,21,13.238095238095237
495,49.0,12,4.083333333333333
496,37.0,9,4.111111111111111
497,382.0,46,8.304347826086957
498,30.0,7,4.285714285714286
499,70.0,10,7.0
500,85.0,26,3.269230769230769
501,21.0,7,3.0
502,20.0,5,4.0
503,611.0,37,16.513513513513512
504,19.0,7,2.7142857142857144
505,1.0,1,1.0
506,35.0,14,2.5
507,202.0,55,3.672727272727273
508,26.0,7,3.7142857142857144
509,50.0,16,3.125
510,85.0,22,3.8636363636363638
511,58.0,17,3.411764705882353
512,44.0,15,2.933333333333333
513,96.0,23,4.173913043478261
514,975.0,65,15.0
515,187.0,50,3.74
516,25.0,8,3.125
517,10.0,5,2.0
518,8.0,4,2.0
519,11.0,3,3.6666666666666665
520,65.0,22,2.9545454545454546
521,11.0,4,2.75
522,39.0,14,2.7857142857142856
523,239.0,46,5.195652173913044
524,3.0,1,3.0
525,32.0,5,6.4
526,20.0,11,1.8181818181818181
527,52.0,28,1.8571428571428572
528,12.0,3,4.0
529,41.0,16,2.5625
530,272.0,60,4.533333333333333
531,177.0,50,3.54
532,70.0,16,4.375
533,20.0,8,2.5
534,235.0,48,4.895833333333333
535,111.0,29,3.8275862068965516
536,75.0,20,3.75
537,292.0,48,6.083333333333333
538,525.0,59,8.898305084745763
539,27.0,12,2.25
540,22.0,10,2.2
541,699.0,71,9.845070422535212
542,163.0,17,9.588235294117647
543,254.0,37,6.864864864864865
544,775.0,53,14.622641509433961
545,47.0,17,2.764705882352941
546,22.0,5,4.4
547,122.0,24,5.083333333333333
548,396.0,26,15.23076923076923
549,164.0,17,9.647058823529411
550,148.0,28,5.285714285714286
551,35.0,16,2.1875
552,11.0,4,2.75
553,485.0,43,11.279069767441861
554,4.0,4,1.0
555,76.0,5,15.2
556,433.0,35,12.371428571428572
557,6.0,1,6.0
558,15.0,6,2.5
559,25.0,8,3.125
560,111.0,31,3.5806451612903225
561,426.0,30,14.2
562,4.0,2,2.0
563,11.0,4,2.75
564,241.0,25,9.64
565,4.0,2,2.0
566,151.0,21,7.190476190476191
567,16.0,9,1.7777777777777777
568,17.0,8,2.125
569,86.0,15,5.733333333333333
570,15.0,6,2.5
571,131.0,38,3.4473684210526314
572,15.0,11,1.3636363636363635
573,132.0,20,6.6
574,2.0,1,2.0
575,577.0,55,10.49090909090909
576,1.0,1,1.0
577,1.0,1,1.0
578,71.0,19,3.736842105263158
579,127.0,20,6.35
580,13.0,5,2.6
581,27.0,11,2.4545454545454546
582,13.0,3,4.333333333333333
583,17.0,7,2.4285714285714284
584,75.0,4,18.75
585,520.0,55,9.454545454545455
586,350.0,62,5.645161290322581
587,33.0,10,3.3
589,134.0,35,3.8285714285714287
590,13.0,5,2.6
591,431.0,50,8.62
592,458.0,44,10.409090909090908
593,18.0,3,6.0
594,165.0,52,3.173076923076923
595,52.0,10,5.2
596,100.0,24,4.166666666666667
597,91.0,30,3.033333333333333
598,54.0,9,6.0
599,57.0,29,1.9655172413793103
600,85.0,14,6.071428571428571
601,29.0,11,2.6363636363636362
602,11.0,4,2.75
603,54.0,21,2.5714285714285716
604,17.0,7,2.4285714285714284
605,247.0,60,4.116666666666666
606,106.0,26,4.076923076923077
607,23.0,4,5.75
608,375.0,34,11.029411764705882
609,17.0,10,1.7
610,287.0,53,5.415094339622642
611,78.0,21,3.7142857142857144
612,84.0,36,2.3333333333333335
613,6.0,3,2.0
614,130.0,26,5.0
615,2.0,1,2.0
616,2.0,1,2.0
617,191.0,33,5.787878787878788
618,80.0,11,7.2727272727272725
619,79.0,20,3.95
620,158.0,23,6.869565217391305
621,103.0,19,5.421052631578948
622,497.0,91,5.461538461538462
623,579.0,95,6.094736842105263
624,100.0,36,2.7777777777777777
625,7.0,4,1.75
626,19.0,7,2.7142857142857144
628,29.0,7,4.142857142857143
629,22.0,5,4.4
630,17.0,8,2.125
631,201.0,32,6.28125
632,64.0,22,2.909090909090909
633,79.0,22,3.590909090909091
634,18.0,7,2.5714285714285716
635,16.0,13,1.2307692307692308
636,60.0,20,3.0
637,222.0,61,3.639344262295082
638,106.0,24,4.416666666666667
639,220.0,39,5.641025641025641
640,2.0,1,2.0
641,284.0,51,5.568627450980392
642,30.0,7,4.285714285714286
643,13.0,7,1.8571428571428572
644,40.0,20,2.0
645,1.0,1,1.0
646,2.0,1,2.0
647,30.0,14,2.142857142857143
648,18.0,7,2.5714285714285716
649,608.0,64,9.5
650,174.0,47,3.702127659574468
651,6.0,4,1.5
652,18.0,2,9.0
653,12.0,3,4.0
654,12.0,5,2.4
655,4.0,2,2.0
656,2.0,1,2.0
657,35.0,15,2.3333333333333335
658,7.0,3,2.3333333333333335
659,10.0,4,2.5
660,627.0,50,12.54
661,2.0,2,1.0
662,196.0,31,6.32258064516129
663,47.0,22,2.1363636363636362
664,32.0,13,2.4615384615384617
665,301.0,45,6.688888888888889
666,93.0,20,4.65
667,107.0,21,5.095238095238095
668,465.0,42,11.071428571428571
669,24.0,10,2.4
670,22.0,9,2.4444444444444446
671,40.0,19,2.1052631578947367
672,117.0,36,3.25
673,69.0,26,2.6538461538461537
674,138.0,18,7.666666666666667
675,25.0,10,2.5
676,357.0,44,8.113636363636363
677,118.0,31,3.806451612903226
678,122.0,35,3.4857142857142858
679,39.0,7,5.571428571428571
680,66.0,17,3.8823529411764706
681,64.0,22,2.909090909090909
682,91.0,12,7.583333333333333
683,418.0,24,17.416666666666668
684,36.0,8,4.5
685,79.0,18,4.388888888888889
686,137.0,29,4.724137931034483
687,79.0,31,2.5483870967741935
688,287.0,55,5.218181818181818
689,82.0,10,8.2
690,240.0,48,5.0
691,160.0,43,3.7209302325581395
692,142.0,21,6.761904761904762
693,56.0,15,3.7333333333333334
694,24.0,6,4.0
695,59.0,16,3.6875
696,1.0,1,1.0
697,179.0,34,5.264705882352941
698,561.0,48,11.6875
699,393.0,64,6.140625
700,18.0,5,3.6
701,10.0,5,2.0
702,61.0,26,2.3461538461538463
703,38.0,11,3.4545454545454546
704,5.0,2,2.5
705,85.0,23,3.6956521739130435
706,3.0,1,3.0
707,269.0,25,10.76
708,57.0,21,2.7142857142857144
709,392.0,42,9.333333333333334
710,39.0,15,2.6
711,43.0,21,2.0476190476190474
712,16.0,7,2.2857142857142856
713,570.0,80,7.125
714,190.0,28,6.785714285714286
715,70.0,28,2.5
716,54.0,22,2.4545454545454546
717,15.0,4,3.75
718,10.0,5,2.0
719,9.0,4,2.25
720,5.0,2,2.5
721,58.0,11,5.2727272727272725
722,5.0,3,1.6666666666666667
723,36.0,12,3.0
724,219.0,41,5.341463414634147
725,21.0,6,3.5
726,45.0,8,5.625
727,10.0,1,10.0
728,88.0,21,4.190476190476191
729,90.0,20,4.5
730,85.0,20,4.25
731,28.0,9,3.111111111111111
732,382.0,42,9.095238095238095
733,492.0,57,8.631578947368421
734,14.0,8,1.75
735,268.0,68,3.9411764705882355
736,72.0,14,5.142857142857143
737,48.0,7,6.857142857142857
738,31.0,9,3.4444444444444446
739,542.0,78,6.948717948717949
740,230.0,46,5.0
741,129.0,38,3.3947368421052633
742,42.0,15,2.8
743,386.0,49,7.877551020408164
744,2.0,1,2.0
745,29.0,13,2.230769230769231
746,45.0,17,2.6470588235294117
747,362.0,60,6.033333333333333
748,14.0,7,2.0
749,211.0,18,11.722222222222221
750,3.0,2,1.5
751,15.0,3,5.0
752,70.0,27,2.5925925925925926
753,14.0,7,2.0
754,21.0,4,5.25
755,275.0,21,13.095238095238095
756,3.0,2,1.5
757,123.0,12,10.25
758,83.0,27,3.074074074074074
759,111.0,12,9.25
760,14.0,6,2.3333333333333335
761,33.0,7,4.714285714285714
762,12.0,3,4.0
763,769.0,71,10.830985915492958
764,5.0,2,2.5
765,501.0,57,8.789473684210526
766,322.0,39,8.256410256410257
767,47.0,12,3.9166666666666665
768,407.0,56,7.267857142857143
769,3.0,1,3.0
770,65.0,20,3.25
771,102.0,26,3.923076923076923
772,2.0,1,2.0
773,23.0,7,3.2857142857142856
774,354.0,32,11.0625
775,14.0,5,2.8
776,698.0,52,13.423076923076923
777,123.0,27,4.555555555555555
778,80.0,28,2.857142857142857
779,4.0,1,4.0
780,89.0,21,4.238095238095238
781,82.0,15,5.466666666666667
782,83.0,19,4.368421052631579
783,27.0,10,2.7
784,20.0,8,2.5
785,24.0,10,2.4
786,27.0,5,5.4
787,60.0,17,3.5294117647058822
788,160.0,38,4.2105263157894735
789,404.0,51,7.921568627450981
790,14.0,4,3.5
791,20.0,4,5.0
792,250.0,35,7.142857142857143
793,116.0,30,3.8666666666666667
794,31.0,11,2.8181818181818183
795,30.0,10,3.0
796,18.0,6,3.0
797,33.0,10,3.3
798,51.0,14,3.642857142857143
799,618.0,56,11.035714285714286
800,10.0,6,1.6666666666666667
801,26.0,7,3.7142857142857144
802,26.0,6,4.333333333333333
803,252.0,37,6.8108108108108105
805,1.0,1,1.0
806,48.0,9,5.333333333333333
807,5.0,3,1.6666666666666667
808,9.0,5,1.8
809,72.0,27,2.6666666666666665
810,4.0,3,1.3333333333333333
811,26.0,13,2.0
812,226.0,17,13.294117647058824
813,67.0,17,3.9411764705882355
814,49.0,13,3.769230769230769
815,152.0,19,8.0
816,43.0,10,4.3
817,8.0,1,8.0
818,46.0,9,5.111111111111111
819,16.0,7,2.2857142857142856
820,83.0,11,7.545454545454546
821,57.0,18,3.1666666666666665
822,33.0,12,2.75
823,38.0,12,3.1666666666666665
824,48.0,14,3.4285714285714284
825,26.0,11,2.3636363636363638
826,2.0,1,2.0
827,139.0,15,9.266666666666667
828,37.0,6,6.166666666666667
829,5.0,2,2.5
830,169.0,29,5.827586206896552
831,13.0,5,2.6
832,148.0,38,3.8947368421052633
833,22.0,6,3.6666666666666665
834,173.0,53,3.2641509433962264
835,139.0,28,4.964285714285714
836,136.0,29,4.689655172413793
837,439.0,57,7.701754385964913
838,128.0,23,5.565217391304348
839,51.0,13,3.923076923076923
840,42.0,6,7.0
841,25.0,5,5.0
842,43.0,16,2.6875
843,644.0,68,9.470588235294118
844,2.0,1,2.0
845,434.0,65,6.676923076923077
846,90.0,15,6.0
847,68.0,24,2.8333333333333335
848,328.0,62,5.290322580645161
849,22.0,6,3.6666666666666665
850,687.0,29,23.689655172413794
851,40.0,5,8.0
852,29.0,9,3.2222222222222223
853,1.0,1,1.0
854,39.0,12,3.25
855,13.0,4,3.25
856,15.0,3,5.0
857,3.0,1,3.0
858,40.0,12,3.3333333333333335
859,1.0,1,1.0
860,2.0,1,2.0
861,6.0,1,6.0
862,23.0,6,3.8333333333333335
863,75.0,28,2.6785714285714284
864,69.0,22,3.1363636363636362
865,66.0,22,3.0
866,157.0,28,5.607142857142857
867,94.0,24,3.9166666666666665
868,7.0,3,2.3333333333333335
869,40.0,10,4.0
870,37.0,8,4.625
871,515.0,32,16.09375
872,22.0,12,1.8333333333333333
873,13.0,6,2.1666666666666665
874,33.0,14,2.357142857142857
875,4.0,1,4.0
876,70.0,27,2.5925925925925926
877,96.0,10,9.6
878,118.0,28,4.214285714285714
879,86.0,13,6.615384615384615
880,71.0,18,3.9444444444444446
881,26.0,6,4.333333333333333
882,477.0,75,6.36
883,52.0,26,2.0
884,492.0,45,10.933333333333334
885,47.0,14,3.357142857142857
886,372.0,52,7.153846153846154
887,109.0,22,4.954545454545454
888,78.0,12,6.5
889,854.0,66,12.93939393939394
890,21.0,13,1.6153846153846154
891,270.0,26,10.384615384615385
892,10.0,6,1.6666666666666667
893,93.0,15,6.2
894,335.0,54,6.203703703703703
895,1.0,1,1.0
896,4.0,1,4.0
897,147.0,20,7.35
898,36.0,8,4.5
899,44.0,12,3.6666666666666665
900,215.0,35,6.142857142857143
901,19.0,6,3.1666666666666665
902,55.0,17,3.235294117647059
903,19.0,8,2.375
904,17.0,7,2.4285714285714284
905,63.0,9,7.0
906,131.0,27,4.851851851851852
907,973.0,85,11.447058823529412
908,27.0,6,4.5
909,1.0,1,1.0
910,49.0,14,3.5
911,140.0,49,2.857142857142857
912,34.0,13,2.6153846153846154
913,281.0,56,5.017857142857143
914,54.0,21,2.5714285714285716
915,455.0,55,8.272727272727273
916,1054.0,78,13.512820512820513
917,9.0,2,4.5
918,42.0,9,4.666666666666667
919,23.0,8,2.875
920,64.0,20,3.2
921,3.0,1,3.0
922,16.0,1,16.0
923,30.0,11,2.727272727272727
924,269.0,38,7.078947368421052
925,308.0,33,9.333333333333334
926,73.0,13,5.615384615384615
927,45.0,14,3.2142857142857144
928,70.0,28,2.5
929,101.0,25,4.04
930,149.0,38,3.9210526315789473
931,26.0,16,1.625
932,254.0,63,4.031746031746032
933,29.0,5,5.8
934,53.0,14,3.7857142857142856
935,25.0,12,2.0833333333333335
936,6.0,4,1.5
937,87.0,22,3.9545454545454546
938,9.0,3,3.0
939,156.0,18,8.666666666666666
940,9.0,2,4.5
941,46.0,11,4.181818181818182
942,302.0,50,6.04
943,529.0,61,8.672131147540984
944,4.0,2,2.0
945,161.0,50,3.22
946,108.0,28,3.857142857142857
947,446.0,76,5.868421052631579
948,10.0,6,1.6666666666666667
950,26.0,9,2.888888888888889
951,693.0,78,8.884615384615385
952,89.0,8,11.125
953,683.0,88,7.761363636363637
954,4.0,2,2.0
955,6.0,3,2.0
956,54.0,20,2.7
957,144.0,36,4.0
958,60.0,23,2.608695652173913
959,41.0,15,2.7333333333333334
960,98.0,29,3.3793103448275863
961,134.0,39,3.4358974358974357
962,27.0,13,2.076923076923077
963,28.0,7,4.0
964,22.0,6,3.6666666666666665
965,19.0,9,2.111111111111111
966,19.0,1,19.0
967,41.0,8,5.125
968,41.0,10,4.1
969,22.0,3,7.333333333333333
970,21.0,7,3.0
